step,actor_loss,behavior_kl,epoch,format_policy_token_fraction,grad_norm,pg_loss,pg_loss_format,pg_loss_match,policy_token_fraction,response_clip,train_consistency,train_format,train_format_dense,train_format_exact,train_match,train_plan,train_reward,train_reward_sem,val_consistency,val_format,val_format_dense,val_format_exact,val_match,val_plan,val_reward
0,,,,,,,,,,,,,,,,,,,0.27142857142857146,0.09555489676339286,0.5814732142857143,0.5535714285714286,0.05137118510194776,0.23321105574012552,0.060926669011158605
1,0.017589207738637924,0.14890940487384796,0.0,1.0,2.0730786323547363,0.017589209048310295,0.03671228117309511,0.013917979929829016,0.9997318287690481,0.046875,0.196875,0.7881065714504734,0.9534473167728754,0.890625,0.1310868122846684,0.2194343507751938,0.2098974883556366,0.05962378520656454,,,,,,,
2,0.02455003932118416,0.12186850607395172,0.0,1.0,10.180804252624512,0.024550040368922055,0.07497599953785539,0.017052440089173615,0.9997560381889343,0.0625,0.28125,0.7496015508124169,0.9407829122340425,0.859375,0.13376344981427649,0.21908359576873385,0.20872360467910767,0.044823680140546246,,,,,,,
3,0.038629431277513504,0.10578584671020508,0.0,1.0,1.4141762256622314,0.038629431393928826,0.10274621983990073,0.0283548089209944,0.9997430145740509,0.09375,0.3375,0.7391344537574774,0.9081715227122016,0.859375,0.1574112882253192,0.3423056849920201,0.23132473230361938,0.04249677950892427,,,,,,,
4,0.05563275143504143,0.09217626601457596,0.0,1.0,2.5260226726531982,0.055632749921642244,0.1410349514335394,0.04152925359085202,0.9997588843107224,0.125,0.321875,0.6052955726524452,0.8807464995941559,0.796875,0.22292274305555554,0.4648220486111111,0.2834523022174835,0.06046999003833473,,,,,,,
5,0.03715395927429199,0.11746473610401154,0.0,1.0,3.934147596359253,0.03715395706240088,0.10677822877187282,0.02647613431327045,0.9997772922118505,0.125,0.38125,0.6456387474423363,0.8682198660714285,0.8125,0.17117574384404924,0.3100333447332421,0.23573963344097137,0.11366629220777448,,,,,,,
6,0.0403781421482563,0.10051264613866806,0.0,1.0,1.6284074783325195,0.04037814261391759,0.13325635436922312,0.02705250703729689,0.9998025596141815,0.140625,0.3,0.6130422638243872,0.8622337525631739,0.765625,0.1966622242647059,0.40588235294117647,0.25796645879745483,0.07060396983109817,,,,,,,
7,0.022402683272957802,0.14609681069850922,0.0,1.0,3.1127047538757324,0.022402682225219905,0.04850298713427037,0.017552383098518476,0.9997685588896275,0.046875,0.359375,0.8057528067326201,0.9498768682065217,0.859375,0.28738343237004105,0.4860571990424077,0.3679587244987488,0.08588988043786101,,,,,,,
8,0.020423702895641327,0.09299729019403458,0.0,1.0,0.8744000196456909,0.020423701440449804,0.05869617871940136,0.014554084977135062,0.9997364103794097,0.0625,0.434375,0.8174845377604166,0.93984375,0.90625,0.12337908496732027,0.26034007352941174,0.2051275372505188,0.04256563673542941,,,,,,,
9,0.027106735855340958,0.13284671306610107,0.0,1.0,2.6508753299713135,0.027106735506094992,0.07415610365569592,0.01969112374354154,0.9997456729412079,0.09375,0.478125,0.7402757489714635,0.9044623708858543,0.8125,0.2204546188630491,0.36446826550387595,0.29448220133781433,0.13509037661916068,,,,,,,
